Updated 6/15/2021,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://www.opensecrets.org/donate/   Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
,CID,CRPName,Party,Office,FECCandID
,N00035451,"Adams, Alma",D,NC12,H4NC12100
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
,N00033997,"Aguilar, Pete",D,CA31,H2CA31125
,N00033720,"Allen, Richard W",R,GA12,H2GA12121
,N00040989,"Allred, Colin",D,TX32,H8TX32098
,N00031177,"Amodei, Mark",R,NV02,H2NV02395
,N00042868,"Armstrong, Kelly",R,ND01,H8ND00096
,N00038285,"Arrington, Jodey",R,TX19,H6TX19099
,N00045506,"Auchincloss, Jake",D,MA04,H0MA04192
,N00041104,"Axne, Cindy",D,IA03,H8IA03124
,N00005736,"Babin, Brian",R,TX36,H6TX02079
,N00037049,"Bacon, Donald John",R,NE02,H6NE02125
,N00041954,"Baird, Jim",R,IN04,H8IN04199
,N00042194,"Balderson, Troy",R,OH12,H8OH12180
,N00004367,"Baldwin, Tammy",D,WIS1,S2WI00219
,N00037185,"Banks, Jim",R,IN03,H6IN03229
,N00031233,"Barr, Andy",R,KY06,H0KY06104
,N00037019,"Barragan, Nanette",D,CA44,H6CA44103
,N00006236,"Barrasso, John A",R,WYS1,S6WY00068
,N00031877,"Bass, Karen",D,CA37,H0CA33117
,N00033904,"Beatty, Joyce",D,OH03,H2OH03125
,N00030608,"Bennet, Michael",D,COS1,S0CO00211
,N00045773,"Bentz, Cliff",R,OR02,H0OR02127
,N00030717,"Bera, Ami",D,CA07,H0CA03078
,N00039533,"Bergman, John",R,MI01,H6MI01226
,N00031559,"Beutler, Jaime Herrera",R,WA03,H0WA03187
,N00036018,"Beyer, Don",D,VA08,H4VA08224
,N00044579,"Bice, Stephanie",R,OK05,H0OK05205
,N00039293,"Biggs, Andy",R,AZ05,H6AZ05083
,N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
,N00044335,"Bishop, Dan",R,NC09,H0NC09187
,N00002674,"Bishop, Sanford",D,GA02,H2GA02031
,N00003105,"Blackburn, Marsha",R,TNS1,S8TN00337
,N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
,N00031685,"Blumenthal, Richard",D,CTS2,S0CT00177
,N00005195,"Blunt, Roy",R,MOS1,S0MO00183
,N00045974,"Boebert, Lauren",R,CO03,H0CO03165
,N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
,N00035267,"Booker, Cory",D,NJS2,S4NJ00185
,N00013873,"Boozman, John",R,ARS2,S0AR00150
,N00035420,"Bost, Mike",R,IL12,H4IL12060
,N00041791,"Bourdeaux, Carolyn",D,GA07,H8GA07201
,N00044790,"Bowman, Jamaal",D,NY16,H0NY16143
,N00035307,"Boyle, Brendan",D,PA02,H4PA13199
,N00005883,"Brady, Kevin",R,TX08,H6TX08100
,N00041731,"Braun, Mike",R,INS1,S8IN00171
,N00030910,"Brooks, Mo",R,AL05,S8AL00381
,N00036999,"Brown, Anthony",D,MD04,H6MD04209
,N00003535,"Brown, Sherrod",D,OHS1,S6OH00163
,N00034254,"Brownley, Julia",D,CA26,H2CA00120
,N00027626,"Buchanan, Vernon",R,FL16,H6FL13148
,N00030829,"Buck, Ken",R,CO04,H4CO04090
,N00031227,"Bucshon, Larry",R,IN08,H0IN08114
,N00039551,"Budd, Ted",R,NC13,S2NC00505
,N00041594,"Burchett, Tim",R,TN02,H8TN02119
,N00025219,"Burgess, Michael",R,TX26,H2TX26093
,N00002221,"Burr, Richard",R,NCS2,S4NC00089
,N00039373,"Bush, Cori",D,MO01,H8MO01143
,N00033390,"Bustos, Cheri",D,IL17,H2IL17071
,N00027035,"Butterfield, G K",D,NC01,H4NC01046
,N00007099,"Calvert, Ken",R,CA42,H2CA37023
,N00045978,"Cammack, Kat",R,FL03,H0FL03175
,N00007836,"Cantwell, Maria",D,WAS1,S8WA00194
,N00009771,"Capito, Shelley Moore",R,WVS2,S4WV00159
,N00037015,"Carbajal, Salud",D,CA24,H6CA24303
,N00033373,"Cardenas, Tony",D,CA29,H2CA28113
,N00001955,"Cardin, Ben",D,MDS1,S6MD03177
,N00044245,"Carl, Jerry",R,AL01,H0AL01055
,N00012508,"Carper, Tom",D,DES1,S8DE00079
,N00029513,"Carson, Andre",D,IN07,H8IN07184
,N00035346,"Carter, Buddy",R,GA01,H4GA01039
,N00025095,"Carter, John",R,TX31,H2TX31044
,N00025766,"Carter, Troy",D,LA02,H2LA02149
,N00034128,"Cartwright, Matt",D,PA08,H2PA17079
,N00025882,"Case, Ed",D,HI01,H2HI02128
,N00027503,"Casey, Bob",D,PAS2,S6PA00217
,N00030245,"Cassidy, Bill",R,LAS1,S4LA00107
,N00041338,"Casten, Sean",D,IL06,H8IL06139
,N00027514,"Castor, Kathy",D,FL14,H6FL11126
,N00033316,"Castro, Joaquin",D,TX20,H2TX35011
,N00046252,"Cawthorn, Madison",R,NC11,H0NC11233
,N00003689,"Chabot, Steve",R,OH01,H8OH01043
,N00035504,"Cheney, Liz",R,WY01,H6WY00159
,N00030600,"Chu, Judy",D,CA27,H0CA32101
,N00032019,"Cicilline, David",D,RI01,H0RI01073
,N00035278,"Clark, Katherine",D,MA05,H4MA05084
,N00026961,"Clarke, Yvette D",D,NY09,H4NY11138
,N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
,N00042296,"Cline, Ben",R,VA06,H8VA06104
,N00041882,"Cloud, Michael",R,TX27,H8TX27049
,N00002408,"Clyburn, James E",D,SC06,H2SC02042
,N00046654,"Clyde, Andrew",R,GA09,H0GA09246
,N00003225,"Cohen, Steve",D,TN09,H6TN09068
,N00025726,"Cole, Tom",R,OK04,H2OK04055
,N00036158,"Coleman, Bonnie Watson",D,NJ12,H4NJ12149
,N00000491,"Collins, Susan M",R,MES2,S6ME00159
,N00038260,"Comer, James",R,KY01,H6KY01110
,N00029891,"Connolly, Gerry",D,VA11,H8VA11062
,N00031820,"Coons, Chris",D,DES2,S0DE00092
,N00003132,"Cooper, Jim",D,TN05,H2TN05131
,N00024852,"Cornyn, John",R,TXS1,S2TX00106
,N00037260,"Correa, Lou",D,CA46,H6CA46116
,N00026341,"Costa, Jim",D,CA16,H4CA20082
,N00033363,"Cotton, Tom",R,ARS1,S4AR00103
,N00024842,"Courtney, Joe",D,CT02,H2CT02112
,N00037039,"Craig, Angie",D,MN02,H6MN02131
,N00004614,"Cramer, Kevin",R,NDS2,S8ND00120
,N00006267,"Crapo, Mike",R,IDS2,S8ID00027
,N00030770,"Crawford, Rick",R,AR01,H0AR01083
,N00042224,"Crenshaw, Dan",R,TX02,H8TX02166
,N00002942,"Crist, Charlie",D,FL13,H6FL13205
,N00040876,"Crow, Jason",D,CO06,H8CO06229
,N00033085,"Cruz, Ted",R,TXS2,S2TX00312
,N00024978,"Cuellar, Henry",D,TX28,H2TX23082
,N00041221,"Curtis, John",R,UT03,H8UT03238
,N00033054,"Daines, Steven",R,MTS2,S2MT00096
,N00042626,"Davids, Sharice",D,KS03,H8KS03155
,N00038767,"Davidson, Warren",R,OH08,H6OH08315
,N00004884,"Davis, Danny K",D,IL07,H4IL07037
,N00034784,"Davis, Rodney",R,IL13,H2IL13120
,N00042894,"Dean, Madeleine",D,PA04,H8PA04116
,N00007781,"DeFazio, Peter",D,OR04,H6OR04047
,N00006134,"DeGette, Diana",D,CO01,H6CO01141
,N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
,N00030693,"DelBene, Suzan",D,WA01,H0WA08046
,N00040741,"Delgado, Antonio",D,NY19,H8NY19181
,N00033449,"Demings, Val",D,FL10,H2FL08063
,N00030709,"Desaulnier, Mark",D,CA11,H0CA10073
,N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
,N00031317,"Deutch, Ted",D,FL22,H0FL19080
,N00025337,"Diaz-Balart, Mario",R,FL25,H2FL25018
,N00036149,"Dingell, Debbie",D,MI12,H4MI12079
,N00006023,"Doggett, Lloyd",D,TX35,H4TX10028
,N00034016,"Donalds, Byron",R,FL19,H2FL14186
,N00001373,"Doyle, Mike",D,PA18,H4PA18131
,N00027860,"Duckworth, Tammy",D,ILS2,S6IL00292
,N00030752,"Duncan, Jeff",R,SC03,H0SC03077
,N00037442,"Dunn, Neal",R,FL02,H6FL02208
,N00004981,"Durbin, Dick",D,ILS1,S6IL00151
,N00035440,"Emmer, Tom",R,MN06,H4MN06087
,N00035483,"Ernst, Joni",R,IAS2,S4IA00129
,N00041702,"Escobar, Veronica",D,TX16,H8TX16109
,N00007335,"Eshoo, Anna",D,CA18,H8CA12098
,N00034549,"Espaillat, Adriano",D,NY13,H2NY13096
,N00040712,"Estes, Ron",R,KS04,H8KS04112
,N00038450,"Evans, Dwight",D,PA03,H6PA02171
,N00047264,"Fallon, Patrick",R,TX04,H0TX04219
,N00044011,"Feenstra, Randy",R,IA04,H0IA04145
,N00007364,"Feinstein, Dianne",D,CAS2,S0CA00199
,N00039090,"Ferguson, Drew",R,GA03,H6GA03113
,N00044559,"Fernandez, Teresa Leger",D,NM03,H0NM03102
,N00045251,"Fischbach, Michelle",R,MN07,H0MN07091
,N00033443,"Fischer, Deb",R,NES1,S2NE00094
,N00045434,"Fitzgerald, Scott",R,WI05,H0WI05113
,N00038779,"Fitzpatrick, Brian",R,PA01,H6PA08277
,N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
,N00041194,"Fletcher, Lizzie",D,TX07,H8TX07140
,N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
,N00029139,"Foster, Bill",D,IL11,H8IL14067
,N00026166,"Foxx, Virginia",R,NC05,H4NC05146
,N00002893,"Frankel, Lois J",D,FL21,H2FL14053
,N00046760,"Franklin, Scott",R,FL15,H0FL15104
,N00030490,"Fudge, Marcia",D,OH11,H8OH11141
,N00041335,"Fulcher, Russ",R,ID01,H8ID01124
,N00039503,"Gaetz, Matt",R,FL01,H6FL01119
,N00039330,"Gallagher, Mike",R,WI08,H6WI08155
,N00036097,"Gallego, Ruben",D,AZ07,H4AZ07043
,N00030856,"Garamendi, John",D,CA03,H0CA10149
,N00046030,"Garbarino, Andrew",R,NY02,H0NY02234
,N00042114,"Garcia, Jesus",D,IL04,H8IL04134
,N00044298,"Garcia, Mike",R,CA25,H0CA25105
,N00042282,"Garcia, Sylvia",D,TX29,H8TX29052
,N00031128,"Gibbs, Bob",R,OH07,H0OH18077
,N00027658,"Gillibrand, Kirsten",D,NYS1,S0NY00410
,N00046394,"Gimenez, Carlos",R,FL26,H0FL26036
,N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
,N00041668,"Golden, Jared",D,ME02,H8ME02185
,N00040597,"Gomez, Jimmy",D,CA34,H8CA34266
,N00044592,"Gonzales, Tony",R,TX23,H0TX35015
,N00041690,"Gonzalez, Anthony",R,OH16,H8OH16124
,N00037615,"Gonzalez, Jenniffer",3,PR00,H6PR00082
,N00038809,"Gonzalez, Vicente",D,TX15,H6TX15162
,N00045557,"Good, Bob",R,VA05,H0VA05160
,N00042237,"Gooden, Lance",R,TX05,H8TX05144
,N00030771,"Gosar, Paul",R,AZ04,H0AZ01259
,N00036944,"Gottheimer, Josh",D,NJ05,H6NJ05171
,N00009975,"Graham, Lindsey",R,SCS2,S0SC00149
,N00008799,"Granger, Kay",R,TX12,H6TX12060
,N00001758,"Grassley, Chuck",R,IAS1,S0IA00028
,N00036135,"Graves, Garret",R,LA06,H4LA06153
,N00013323,"Graves, Sam",R,MO06,H0MO06073
,N00026686,"Green, Al",D,TX09,H4TX09095
,N00041873,"Green, Mark",R,TN07,H8TN07076
,N00044701,"Greene, Marjorie Taylor",R,GA14,H0GA06192
,N00032029,"Griffith, Morgan",R,VA09,H0VA09055
,N00025284,"Grijalva, Raul M",D,AZ03,H2AZ07070
,N00036409,"Grothman, Glenn S",R,WI06,H4WI06048
,N00042458,"Guest, Michael",R,MS03,H8MS03125
,N00029675,"Guthrie, Brett",R,KY02,H8KY02031
,N00040933,"Haaland, Debra",D,NM01,H8NM01331
,N00031390,"Hagedorn, Jim",R,MN01,H0MN01045
,N00045369,"Hagerty, Bill",R,TNS2,S0TN00169
,N00040853,"Harder, Josh",D,CA10,H8CA10126
,N00029147,"Harris, Andy",R,MD01,H8MD01094
,N00036915,"Harris, Kamala",D,CAS1,S6CA00584
,N00046688,"Harshbarger, Diana",R,TN01,H0TN01118
,N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
,N00038397,"Hassan, Maggie",D,NHS1,S6NH00091
,N00002884,"Hastings, Alcee",D,FL20,H2FL23021
,N00041620,"Hawley, Josh",R,MOS2,S8MO00160
,N00043421,"Hayes, Jahana",D,CT05,H8CT05245
,N00029835,"Heinrich, Martin",D,NMS1,S2NM00088
,N00040829,"Hern, Kevin",R,OK01,H8OK01157
,N00041454,"Herrell, Yvette",R,NM02,H8NM02156
,N00032243,"Hice, Jody",R,GA10,H0GA07125
,N00044206,"Hickenlooper, John",D,COS2,S0CO00575
,N00027060,"Higgins, Brian M",D,NY26,H4NY27076
,N00039953,"Higgins, Clay",R,LA03,H6LA03148
,N00035792,"Hill, French",R,AR02,H4AR02141
,N00029070,"Himes, Jim",D,CT04,H8CT04172
,N00044521,"Hinson, Ashley",R,IA01,H0IA01174
,N00028139,"Hirono, Mazie K",D,HIS2,S2HI00106
,N00031688,"Hoeven, John",R,NDS1,S0ND00093
,N00038429,"Hollingsworth, Trey",R,IN09,H6IN09176
,N00033638,"Horsford, Steven",D,NV04,H2NV04011
,N00040949,"Houlahan, Chrissy",D,PA06,H8PA06087
,N00001821,"Hoyer, Steny H",D,MD05,H2MD05155
,N00033630,"Hudson, Richard",R,NC08,H2NC08185
,N00033030,"Huffman, Jared",D,CA02,H2CA06259
,N00030673,"Huizenga, Bill",R,MI02,H0MI02094
,N00043298,"Hyde-Smith, Cindy",R,MSS1,S8MS00261
,N00005582,"Inhofe, James M",R,OKS2,S4OK00083
,N00007017,"Issa, Darrell",R,CA50,H0CA48024
,N00005818,"Jackson Lee, Sheila",D,TX18,H4TX18054
,N00046055,"Jackson, Ronny",R,TX13,H0TX13228
,N00044575,"Jacobs, Chris",R,NY27,H0NY27090
,N00042081,"Jacobs, Sara",D,CA53,H8CA49074
,N00038858,"Jayapal, Pramila",D,WA07,H6WA07458
,N00033640,"Jeffries, Hakeem",D,NY08,H2NY10092
,N00032088,"Johnson, Bill",R,OH06,H0OH06189
,N00040559,"Johnson, Dusty",R,SD01,H8SD01055
,N00008122,"Johnson, Eddie Bernice",D,TX30,H2TX00015
,N00027848,"Johnson, Hank",D,GA04,H6GA04129
,N00039106,"Johnson, Mike",R,LA04,H6LA04138
,N00032546,"Johnson, Ron",R,WIS2,S0WI00197
,N00044908,"Jones, Mondaire",D,NY17,H0NY17174
,N00027894,"Jordan, Jim",R,OH04,H6OH04082
,N00035007,"Joyce, David P",R,OH14,H2OH14064
,N00043242,"Joyce, John",R,PA13,H8PA13125
,N00044007,"Kahele, Kai",D,HI02,H0HI02155
,N00033177,"Kaine, Tim",D,VAS1,S2VA00142
,N00003522,"Kaptur, Marcy",D,OH09,H2OH09031
,N00035934,"Katko, John",R,NY24,H4NY24073
,N00031933,"Keating, Bill",D,MA09,H0MA10082
,N00044065,"Keller, Fred",R,PA12,H0PA12181
,N00044223,"Kelly, Mark",D,AZS1,S0AZ00350
,N00031647,"Kelly, Mike",R,PA16,H0PA03271
,N00035215,"Kelly, Robin",D,IL02,H2IL02172
,N00037003,"Kelly, Trent",R,MS01,H6MS01131
,N00026823,"Kennedy, John",R,LAS2,S4LA00065
,N00026427,"Khanna, Ro",D,CA17,H4CA12055
,N00033395,"Kildee, Dan",D,MI05,H2MI05119
,N00034453,"Kilmer, Derek",D,WA06,H2WA06129
,N00041370,"Kim, Andy",D,NJ03,H8NJ03206
,N00042386,"Kim, Young",R,CA39,H8CA39240
,N00004403,"Kind, Ron",D,WI03,H6WI03099
,N00034580,"King, Angus",I,MES1,S2ME00109
,N00030667,"Kinzinger, Adam",R,IL16,H0IL11052
,N00029260,"Kirkpatrick, Ann",D,AZ02,H8AZ01104
,N00027500,"Klobuchar, Amy",D,MNS2,S6MN00267
,N00033240,"Krishnamoorthi, Raja",D,IL08,H6IL08147
,N00030875,"Kuster, Ann",D,NH02,H0NH02181
